Convalesce  v. (-cing) recover health after illness. [latin valeo be well]
Crisis  n. (pl. Crises) 1 time of danger or great difficulty. 2 decisive moment; turning-point. [greek, = decision]
Cyclist  n. Rider of a bicycle.
Mutagen  n. Agent promoting genetic mutation.  mutagenic adj. Mutagenesis n. [from *mutation, *-gen]
Okra  n. Tall, orig. African plant with long ridged seed-pods used for food. [west african native name]
Sulfur  n. (brit. Sulphur) 1 pale-yellow non-metallic element burning with a blue flame and a suffocating smell. 2 pale greenish-yellow colour. [anglo-french from latin]
Dan  n. 1 grade of proficiency in judo. 2 holder of such a grade. [japanese]
Rarity  n. (pl. -ies) 1 rareness. 2 uncommon thing. [latin: related to *rare1]
Stretch  -v. 1 draw, be drawn, or be able to be drawn out in length or size. 2 make or become taut. 3 place or lie at full length or spread out. 4 (also absol.) A extend (a limb etc.). B thrust out one's limbs and tighten one's muscles after being relaxed. 5 have a specified length or extension; extend. 6 strain or exert extremely; exaggerate (stretch the truth). -n. 1 continuous extent, expanse, or period. 2 stretching or being stretched. 3 (attrib.) Elastic (stretch fabric). 4 colloq. Period of imprisonment etc. 5 us straight side of a racetrack.  at a stretch in one period. Stretch one's legs exercise oneself by walking. Stretch out 1 extend (a limb etc.). 2 last; prolong. Stretch a point agree to something not normally allowed.  stretchy adj. (-ier, -iest). [old english]
Spider monkey  n. Monkey with long limbs and a prehensile tail.
Commentator  n. 1 person who provides a commentary. 2 person who comments on current events. [latin]
Brill1  n. (pl. Same) european flat-fish. [origin unknown]
Nr.  Abbr. Near.
Frowsty  adj. (-ier, -iest) fusty, stuffy. [var. Of *frowzy]
Artifice  n. 1 trick or clever device. 2 cunning. 3 skill, ingenuity. [latin ars art- art, facio make]
Ring2  -v. (past rang; past part. Rung) 1 (often foll. By out etc.) Give a clear resonant or vibrating sound of or as of a bell. 2 a make (esp. A bell) ring. B (absol.) Call by ringing a bell (you rang, sir?). 3 (also absol.; often foll. By up)  call by telephone (will ring you). 4 (usu. Foll. By with, to) (of a place) resound with a sound, fame, etc. (theatre rang with applause). 5 (of the ears) be filled with a sensation of ringing. 6  a sound (a peal etc.) On bells. B (of a bell) sound (the hour etc.). 7 (foll. By in, out) usher in or out with bell-ringing (rang out the old year). 8 convey a specified impression (words rang true). -n. 1 ringing sound or tone. 2 act or sound of ringing a bell. 3 colloq. Telephone call (give me a ring). 4 specified feeling conveyed by words etc. (had a melancholy ring). 5 set of esp. Church bells.  ring back make a return telephone call to. Ring a bell colloq. Begin to revive a memory. Ring down (or up) the curtain 1 cause the curtain to be lowered or raised. 2 (foll. By on) mark the end or the beginning of (an enterprise etc.). Ring in report or make contact by telephone. Ring off end a telephone call. Ring round telephone several people. Ring up 1  call by telephone. 2 record (an amount etc.) On a cash register. [old english]
Rename  v. (-ming) name again; give a new name to.
Hedgerow  n. Row of bushes etc. Forming a hedge.
Halogen  n. Any of the non-metallic elements (fluorine, chlorine, bromine, iodine, and astatine) which form a salt (e.g. Sodium chloride) when combined with a metal. [greek hals halos salt, *-gen]
Oh  int. (also o) expressing surprise, pain, entreaty, etc.  oh (or o) for i wish i had. [var. Of *o4]
Outdoors  -adv. In or into the open air. -n. The open air.
Jabber  -v. 1 chatter volubly. 2 utter (words) in this way. -n. Chatter; gabble. [imitative]
Ledge  n. Narrow horizontal or shelflike projection. [origin uncertain]
Riffle  -v. (-ling) 1 (often foll. By through) leaf quickly through (pages). 2 a turn (pages) in quick succession. B shuffle (playing-cards), esp. By flexing and combining the two halves of a pack. -n. 1 act of riffling. 2 us a shallow disturbed part of a stream. B patch of waves or ripples. [perhaps var. Of *ruffle]
Tare1  n. 1 vetch, esp. As a cornfield weed or fodder. 2 (in pl.) Bibl. An injurious cornfield weed (matt. 13:24-30). [origin unknown]
Cystitis  n. Inflammation of the bladder usu. Causing frequent painful urination.
Phallus  n. (pl. Phalli or phalluses) 1 (esp. Erect) penis. 2 image of this as a symbol of natural generative power.  phallic adj. [latin from greek]
Boxer shorts  n.pl. Men's loose underpants like shorts.
Quinine  n. Bitter drug obtained from cinchona bark, used as a tonic and to reduce fever. [spanish quina cinchona bark, from quechua kina bark]
Disc jockey  n. Presenter of recorded pop music.
Spectre  n. (us specter) 1 ghost. 2 haunting presentiment (spectre of war). [latin spectrum from specio look]
Ivory tower  n. Seclusion or withdrawal from the harsh realities of life (often attrib.: ivory tower professors).
Centimeter  n. (brit. Centimetre) 0.01 metre.
Ladies' man  n. (also lady's man) man fond of female company.
Cfc  abbr. Chlorofluorocarbon, a usu. Gaseous compound of carbon, hydrogen, chlorine, and fluorine, used in refrigerants, aerosol propellants, etc., and thought to harm the ozone layer.
High-risk  attrib. Adj. Involving or exposed to danger (high-risk sports).
Emerge  v. (-ging) 1 come up or out into view. 2 (of facts etc.) Become known, be revealed. 3 become recognized or prominent. 4 (of a question, difficulty, etc.) Become apparent.  emergence n. Emergent adj. [latin: related to *merge]
Graffiti  n.pl. (sing. Graffito) writing or drawing scribbled, scratched, or sprayed on a surface. [italian graffio a scratch]
Guild  n. (also gild) 1 association of people for mutual aid or the pursuit of a common goal. 2 medieval association of craftsmen or merchants. [low german or dutch gilde]
Exercise  -n. 1 activity requiring physical effort, done to sustain or improve health. 2 mental or spiritual activity, esp. As practice to develop a faculty. 3 task devised as exercise. 4 a use or application of a mental faculty, right, etc. B practice of an ability, quality, etc. 5 (often in pl.) Military drill or manoeuvres. -v. (-sing) 1 use or apply (a faculty, right, etc.). 2 perform (a function). 3 a take (esp. Physical) exercise. B provide (an animal) with exercise. 4 a tax the powers of. B perplex, worry. [latin exerceo keep busy]
Disadvantaged  adj. Lacking normal opportunities through poverty, disability, etc.
Pram  n. Four-wheeled conveyance for a baby, pushed by a person on foot. [abbreviation of *perambulator]
Linkage  n. 1 linking or being linked, esp. The linking of quite different political issues in negotiations. 2 link or system of links.
Felspar  var. Of *feldspar.
Concurrent  adj. 1 (often foll. By with) existing or in operation at the same time or together. 2 (of three or more lines) meeting at or tending towards one point. 3 agreeing, harmonious.  concurrence n. Concurrently adv.
Penurious  adj. 1 poor. 2 stingy; grudging. 3 scanty. [medieval latin: related to *penury]
Intermittent  adj. Occurring at intervals; not continuous.  intermittently adv. [latin mitto miss- let go]
Tappet  n. Lever or projecting part in machinery giving intermittent motion. [from *tap2]
Broadside  n. 1 vigorous verbal attack. 2 simultaneous firing of all guns from one side of a ship. 3 side of a ship above the water between the bow and quarter.  broadside on sideways on.
Goth  n. 1 style of rock music with an intense or droning blend of guitars, bass, and drums, often with apocalyptic or mystical lyrics. 2 performer or devotee of this music, or member of the subculture favouring black clothing and white-painted faces with black make-up.
Digital  adj. 1 of digits. 2 (of a clock, watch, etc.) Giving a reading by displayed digits. 3 (of a computer) operating on data represented by a series of digits. 4 (of a recording) with sound-information represented by digits for more reliable transmission.  digitally adv. [latin: related to *digit]
Pacifier  n. 1 person or thing that pacifies. 2 us baby's dummy.
Inaugural  -adj. Of or for an inauguration. -n. Inaugural speech, lecture, etc. [french from latin auguro take omens: related to *augur]
Last1  -adj. 1 after all others; coming at or belonging to the end. 2 most recent; next before a specified time (last christmas). 3 only remaining (last chance). 4 (prec. By the) least likely or suitable (the last person i'd want). 5 lowest in rank (last place). -adv. 1 after all others (esp. In comb.: last-mentioned). 2 on the most recent occasion (when did you last see him?). 3 lastly. -n. 1 person or thing that is last, last-mentioned, most recent, etc. 2 (prec. By the) last mention or sight etc. (shall never hear the last of it). 3 last performance of certain acts (breathed his last). 4 (prec. By the) the end; death (fighting to the last).  at last (or long last) in the end; after much delay. [old english, = latest]
Over-large  adj. Too large.
High-up  n. Colloq. Person of high rank.
Arsehole  n. (us asshole) coarse slang 1 anus. 2 offens. Contemptible person.
Masking tape  n. Adhesive tape used in decorating to protect areas where paint is not wanted.
Misanthropy  n. Condition or habits of a misanthrope.
Ammeter  n. Instrument for measuring electric current in amperes. [from *ampere, *-meter]
Rhododendron  n. (pl. -s or -dra) evergreen shrub with large clusters of bell-shaped flowers. [greek rhodon rose, dendron tree]
Hit-and-run  attrib. Adj. 1 (of a driver, raider, etc.) Causing damage or injury and leaving the scene immediately. 2 (of an accident, attack, etc.) Perpetrated by such a person or people.
Senior citizen  n. Old-age pensioner.
Play-back  n. Playing back of a sound.
Secret agent  n. Spy.
Matriarch  n. Female head of a family or tribe.  matriarchal adj. [latin mater mother]
Auditorium  n. (pl. -s) part of a theatre etc. For the audience. [latin]
Fly-past  n. Ceremonial flight of aircraft.
Knee-breeches  n.pl. Close-fitting trousers to the knee or just below.
Salmon  -n. (pl. Usu. Same or -s) large expensive edible fish with orange-pink flesh. -adj. Salmon-pink. [latin salmo]
Achieve  v. (-ving) 1 reach or attain, esp. By effort (achieved victory; achieved notoriety). 2 accomplish (a feat or task). [french achever: related to *chief]
Laplander  n. Native or inhabitant of lapland; lapp. [as *lapp]
Smite  v. (-ting; past smote; past part. Smitten) 1 archaic or literary a hit. B chastise; defeat. 2 (in passive) affect strongly; seize (smitten with regret; smitten by her beauty). [old english]
Geriatric  -adj. 1 of old people. 2 colloq. Old, outdated. -n. Old person. [greek geras old age, iatros doctor]
Alloy  -n. 1 mixture of two or more metals. 2 inferior metal mixed esp. With gold or silver. -v. 1 mix (metals). 2 debase by admixture. 3 moderate (pleasure alloyed with pain). [french: related to *ally]
Deep  -adj. 1 extending far down or in (deep water; deep wound; deep shelf). 2 (predic.) A to or at a specified depth (water 6 feet deep). B in a specified number of ranks (soldiers drawn up six deep). 3 situated or coming from far down, back, or in (deep in his pockets; deep sigh). 4 low-pitched, full-toned (deep voice). 5 intense, extreme (deep sleep; deep colour; deep interest). 6 (predic.) Fully absorbed or overwhelmed (deep in a book; deep in debt). 7 profound; difficult to understand (too deep for me). -n. 1 (prec. By the) poet. Sea, esp. When deep. 2 abyss, pit, cavity. 3 (prec. By the) cricket position of a fielder distant from the batsman. 4 deep state (deep of the night). -adv. Deeply; far down or in (dig deep).  go off the deep end colloq. Give way to anger or emotion. In deep water in trouble or difficulty.  deeply adv. [old english]
Distinction  n. 1 discriminating or distinguishing. 2 difference between two things. 3 thing that differentiates or distinguishes. 4 special consideration or honour (treat with distinction). 5 excellence (person of distinction). 6 title or mark of honour. [latin: related to *distinguish]
Scherzo  n. (pl. -s) mus. Vigorous, often playful, piece, esp. As part of a larger work. [italian, = jest]
Liberal democrat  n. Member of the party formed from the liberal party and the social democratic party.
Right of way  n. 1 right established by usage to pass over another's ground. 2 path subject to such a right. 3 right of a vehicle to precedence.
Legalistic  adj. Adhering excessively to a law or formula.  legalism n. Legalist n.
Impanel  var. Of *empanel.
Tambour  n. 1 drum. 2 circular frame holding fabric taut for embroidering. [french: related to *tabor]
Master of the rolls  n. Judge who presides over the court of appeal.
Biplane  n. Aeroplane with two sets of wings, one above the other.
Redeem  v. 1 recover by expenditure of effort or by a stipulated payment. 2 make a single payment to cancel (a regular charge or obligation). 3 convert (tokens or bonds etc.) Into goods or cash. 4 deliver from sin and damnation. 5 make up for; be a compensating factor in (has one redeeming feature). 6 (foll. By from) save from (a defect). 7 refl. Save (oneself) from blame. 8 purchase the freedom of (a person). 9 save (a person's life) by ransom. 10 save or rescue or reclaim. 11 fulfil (a promise).  redeemable adj. [latin emo buy]
De trop  predic. Adj. Not wanted, in the way. [french, = excessive]
Gaseous  adj. Of or like gas.
Punt3  v. 1 colloq. A bet on a horse etc. B speculate in shares etc. 2 (in some card-games) lay a stake against the bank. [french ponter]
Lambswool  n. Soft fine wool from a young sheep.
Explode  v. (-ding) 1 a expand suddenly with a loud noise owing to a release of internal energy. B cause (a bomb etc.) To explode. 2 give vent suddenly to emotion, esp. Anger. 3 (of a population etc.) Increase suddenly or rapidly. 4 show (a theory etc.) To be false or baseless. 5 (as exploded adj.) (of a drawing etc.) Showing the components of a mechanism somewhat separated but in the normal relative positions. [latin explodo -plos- hiss off the stage]
Fly2  n. (pl. Flies) 1 insect with two usu. Transparent wings. 2 other winged insect, e.g. A firefly. 3 disease of plants or animals caused by flies. 4 (esp. Artificial) fly as bait in fishing.  like flies in large numbers (usu. Of people dying etc.). No flies on (him etc.) Colloq. (he is) very astute. [old english]
Second class  -n. Second-best group, category, postal service, or accommodation. -adj. & adv. (second-class) of or by the second class (second-class citizens; travelled second-class).
Sexy  adj. (-ier, -iest) 1 sexually attractive, stimulating, or aroused. 2 colloq. (of a project etc.) Exciting, trendy.  sexily adv. Sexiness n.
Getaway  n. Escape, esp. After a crime.
Stalwart  -adj. 1 strong, sturdy. 2 courageous, resolute, reliable. -n. Stalwart person, esp. A loyal comrade. [old english, = place, *worth]
Emeritus  adj. Retired but retaining one's title as an honour (emeritus professor). [latin mereor earn]
One-way  adj. Allowing movement, travel, etc., in one direction only.
Tenterhook  n. Hook to which cloth is fastened on a tenter.  on tenterhooks in a state of suspense or agitation due to uncertainty.
Cheque card  n. Card issued by a bank to guarantee the honouring of cheques up to a stated amount.
Substructure  n. Underlying or supporting structure.
Goose-flesh  n. (also goose-pimples; us goose-bumps) bristling state of the skin produced by cold, fright, etc.
Every one  n. Each one.
Ankle  n. 1 joint connecting the foot with the leg. 2 this part of the leg. [old norse]
Quell  v. 1 crush or put down (a rebellion etc.). 2 suppress (fear etc.). [old english]
Shrine  n. 1 esp. Rc ch. A place for special worship or devotion. B tomb or reliquary. 2 place hallowed by some memory or association. [latin scrinium bookcase]
Realize  v. (also -ise) (-zing or -sing) 1 (often foll. By that) be fully aware of; conceive as real. 2 understand clearly. 3 present as real. 4 convert into actuality. 5 a convert into money. B acquire (profit). C be sold for (a specified price).  realizable adj. Realization n.
Bisque2  n. Advantage of one free point or stroke in certain games. [french]
Antigen  n. Foreign substance (e.g. Toxin) which causes the body to produce antibodies. [greek -genes of a kind]
Stressful  adj. Causing stress.
Luxury  n. (pl. -ies) 1 choice or costly surroundings, possessions, etc. 2 thing giving comfort or enjoyment but not essential. 3 (attrib.) Comfortable and expensive (luxury flat). [latin luxus abundance]
Laryngitis  n. Inflammation of the larynx.
Groundwork  n. Preliminary or basic work.
Heathen  -n. 1 person not belonging to a predominant religion, esp. Not a christian, jew, or muslim. 2 person regarded as lacking culture or moral principles. -adj. 1 of heathens. 2 having no religion. [old english]
Heed  -v. Attend to; take notice of. -n. Careful attention.  heedful adj. Heedless adj. Heedlessly adv. [old english]
Glove  -n. 1 hand-covering for protection, warmth, etc., usu. With separate fingers. 2 boxing glove. -v. (-ving) cover or provide with gloves. [old english]
Subtext  n. Underlying theme.
Fr  symb. Francium.
Clasp  -n. 1 device with interlocking parts for fastening. 2 a embrace. B grasp, handshake. 3 bar on a medal-ribbon. -v. 1 fasten with or as with a clasp. 2 a grasp, hold closely. B embrace. [old english]
Resounding  adj. 1 ringing, echoing. 2 notable, emphatic (a resounding success).
Talkie  n. Colloq. (esp. Early) film with a soundtrack.
Controller  n. 1 person or thing that controls. 2 person in charge of expenditure.
Regret  -v. (-tt-) 1 feel or express sorrow, repentance, or distress over (an action or loss etc.). 2 acknowledge with sorrow or remorse (regret to say). -n. Feeling of sorrow, repentance, etc., over an action or loss etc.  give (or send) one's regrets formally decline an invitation. [french regretter]
Foxy  adj. (-ier, -iest) 1 foxlike. 2 sly or cunning. 3 reddish-brown.  foxily adv. Foxiness n.
Expansible  adj. That can be expanded.
Taffy  n. (pl. -ies) colloq. Often offens. Welshman. [a supposed pronunciation of davy = david]
Involuntary  adj. 1 done without exercising the will; unintentional. 2 (of a muscle) not under the control of the will.  involuntarily adv. Involuntariness n.
Rapture  n. 1 ecstatic delight. 2 (in pl.) Great pleasure or enthusiasm or the expression of it.  rapturous adj. [french or medieval latin: related to *rape1]
Conker  n. 1 fruit of the horse chestnut. 2 (in pl.) Children's game played with conkers on strings. [dial. Conker snail-shell]
Copse  n. = *coppice. [shortened form]
Hot water  n. Colloq. Difficulty or trouble.
Search  -v. 1 (also absol.) Look through or go over thoroughly to find something. 2 examine or feel over (a person) to find anything concealed. 3 probe (search one's conscience). 4 (foll. By for) look thoroughly in order to find. 5 (as searching adj.) (of an examination) thorough; keenly questioning (searching gaze). 6 (foll. By out) look for; seek out. -n. 1 act of searching. 2 investigation.  in search of trying to find. Search me! Colloq. I do not know.  searcher n. Searchingly adv. [anglo-french cerchier]
Re-route  v. (-teing) send or carry by a different route.
Swede  n. 1 a native or national of sweden. B person of swedish descent. 2 (swede) large yellow-fleshed turnip orig. From sweden. [low german or dutch]
Hemp  n. 1 (in full indian hemp) asian herbaceous plant. 2 its fibre used to make rope and stout fabrics. 3 narcotic drug made from the hemp plant. [old english]
Im-  prefix assim. Form of *in-1, *in-2 before b, m, or p.
Chic  -adj. (chic-er, chic-est) stylish, elegant. -n. Stylishness, elegance. [french]
School age  n. Age-range of school attendance.
Paternalism  n. Policy of governing or behaving in a paternal way.  paternalistic adj.
Housebound  adj. Confined to one's house through illness etc.
Supercharge  v. (-ging) 1 (usu. Foll. By with) charge (the atmosphere etc.) With energy, emotion, etc. 2 use a supercharger on.
Addressee  n. Person to whom a letter etc. Is addressed.
Attic  -adj. Of ancient athens or attica, or the form of greek used there. -n. Greek as used by the ancient athenians. [greek attikos]
Self-explanatory  adj. Not needing explanation.
Physio  n. (pl. -s) colloq. 1 physiotherapy. 2 physiotherapist.
Provincial  -adj. 1 of a province or provinces. 2 unsophisticated or uncultured. -n. 1 inhabitant of a province or the provinces. 2 unsophisticated or uncultured person.  provincialism n.
Companion  n. 1 a person who accompanies or associates with another. B (foll. By in, of) partner, sharer. C person employed to live with and assist another. 2 handbook or reference book. 3 thing that matches another. 4 (companion) member of some orders of knighthood. [latin panis bread]
Militant  -adj. 1 combative; aggressively active in support of a cause. 2 engaged in warfare. -n. Militant person.  militancy n. Militantly adv. [latin: related to *militate]
Pilot officer  n. Lowest commissioned rank in the raf.
Inject  v. 1 a (usu. Foll. By into) drive (a solution, medicine, etc.) By or as if by a syringe. B (usu. Foll. By with) fill (a cavity etc.) By injecting. C administer medicine etc. To (a person) by injection. 2 place (a quality, money, etc.) Into something.  injection n. Injector n. [latin injicere -ject- from jacio throw]
Eminent  adj. Distinguished, notable, outstanding. [latin emineo jut out]
Historical  adj. 1 of or concerning history (historical evidence). 2 (of the study of a subject) showing its development over a period. 3 factual, not fictional or legendary. 4 belonging to the past, not the present. 5 (of a novel etc.) Dealing with historical events.  historically adv.
Eurasian  -adj. 1 of mixed european and asian parentage. 2 of europe and asia. -n. Eurasian person.
All-time  attrib. Adj. (of a record etc.) Unsurpassed.
Machismo  n. Being macho; masculine pride. [spanish]
Ssw  abbr. South-south-west.
Ominous  adj. 1 threatening. 2 of evil omen; inauspicious.  ominously adv. [latin: related to *omen]
Antiviral  adj. Effective against viruses.
Ambience  n. Surroundings or atmosphere. [latin ambio go round]
Biological warfare  n. Use of toxins or micro-organisms against an enemy.
Polyethene  n. = *polythene.
Daisy wheel  n. Spoked disc bearing printing characters, used in word processors and typewriters.
Alley  n. (pl. -s) 1 narrow street or passageway. 2 enclosure for skittles, bowling, etc. 3 walk or lane in a park etc. [french aller go]
Snow goose  n. White arctic goose.
Brisket  n. Animal's breast, esp. As a joint of meat. [french]
Suchlike  colloq. -attrib. Adj. Of such a kind. -n. Things, people, etc. Of such a kind.
Flying fox  n. Fruit-eating bat with a foxlike head.
New mathematics  n.pl. (also new maths) (also treated as sing.) System of elementary maths teaching with an emphasis on investigation and set theory.
Hitch  -v. 1 fasten or be fastened with a loop, hook, etc.; tether. 2 move (a thing) slightly or with a jerk. 3 colloq. A = *hitchhike. B obtain (a lift) by hitchhiking. -n. 1 temporary obstacle or snag. 2 abrupt pull or push. 3 noose or knot of various kinds. 4 colloq. Free ride in a vehicle.  get hitched colloq. Marry. Hitch up lift (esp. Clothing) with a jerk. [origin uncertain]
Referred pain  n. Pain felt in a part of the body other than its actual source.
Fun  -n. 1 lively or playful amusement. 2 source of this. 3 mockery, ridicule (figure of fun). -attrib. Adj. Colloq. Amusing, enjoyable (a fun thing to do).  for fun (or for the fun of it) not for a serious purpose. In fun as a joke, not seriously. Make fun of (or poke fun at) ridicule, tease. [obsolete fun, fon: related to *fond]
Commit  v. (-tt-) 1 do or make (a crime, blunder, etc.). 2 (usu. Foll. By to) entrust or consign for safe keeping or treatment. 3 send (a person) to prison. 4 pledge or bind (esp. Oneself) to a certain course or policy. 5 (as committed adj.) (often foll. By to) a dedicated. B obliged.  commit to memory memorize. Commit to paper write down. [latin committo -miss-]
Braggart  -n. Boastful person. -adj. Boastful.
Chimney-pot  n. Earthenware or metal pipe at the top of a chimney.
Actuality  n. (pl. -ies) 1 reality. 2 (in pl.) Existing conditions.
Queensberry rules  n.pl. Standard rules, esp. Of boxing. [from the name marquis of queensberry]
Dither  -v. 1 hesitate; be indecisive. 2 tremble; quiver. -n. Colloq. State of agitation or hesitation.  ditherer n. Dithery adj. [var. Of didder *dodder1]
Amp1  n. Ampere. [abbreviation]
Perk1  v.  perk up 1 recover confidence, courage, life, or zest. 2 restore confidence, courage, or liveliness in. 3 smarten up. 4 raise (one's head etc.) Briskly. [origin unknown]
Gelding  n. Gelded animal, esp. A horse.
Filing  n. (usu. In pl.) Particle rubbed off by a file.
Coastguard  n. 1 member of a group of people employed to keep watch on coasts to save life, prevent smuggling, etc. 2 such a group.
Sequencer  n. Programmable electronic device for storing sequences of musical notes, chords, etc., and transmitting them when required to an electronic musical instrument.  sequencing n.
Diuretic  -adj. Causing increased output of urine. -n. Diuretic drug. [greek: related to *dia-, oureo urinate]
Caliper  var. Of *calliper.
Price-fixing  n. Maintaining of prices at a certain level by agreement between competing sellers.
Fairly  adv. 1 in a fair manner. 2 moderately (fairly good). 3 quite, rather (fairly narrow).
Playing-field  n. Field for outdoor games.
Herbaceous border  n. Garden border containing esp. Perennial flowering plants.
Fade  -v. (-ding) 1 lose or cause to lose colour, light, or sound; slowly diminish. 2 lose freshness or strength. 3 (foll. By in, out) cinematog. Etc. Cause (a picture or sound) to appear or disappear, increase or decrease, gradually. -n. Action of fading.  fade away 1 colloq. Languish, grow thin. 2 die away; disappear. [french fade dull]
Audacious  adj. 1 daring, bold. 2 impudent.  audacity n. [latin audax bold]
Nab  v. (-bb-) slang 1 arrest; catch in wrongdoing. 2 grab. [origin unknown]
Shelled  adj. 1 having a shell. 2 with its shell removed.
Seasoning  n. Salt, herbs, etc. Added to food to enhance its flavour.
Cashpoint  n. = *cash dispenser.
Misdemeanour  n. (us misdemeanor) 1 misdeed. 2  hist indictable offence less serious than a felony. [from *mis-1]
Intimacy  n. (pl. -ies) 1 state of being intimate. 2 intimate remark or act; sexual intercourse.
Society  n. (pl. -ies) 1 organized and interdependent community. 2 system and organization of this. 3 aristocratic part of this; its members (polite society; society would not approve). 4 mixing with others; companionship, company. 5 club, association (music society; building society).  societal adj. [latin societas]
Fiddling  adj. 1 petty, trivial. 2 colloq. = *fiddly.
Built-in  adj. Integral.
Mindful  adj. (often foll. By of) taking heed or care; giving thought (to).  mindfully adv.
Booze  colloq. -n. Alcoholic drink. -v. (-zing) drink alcohol, esp. To excess.  boozy adj. (-ier, -iest). [dutch]
Endemic  adj. (often foll. By to) regularly or only found among a particular people or in a particular region.  endemically adv. [greek en- in, demos the people]
Question  -n. 1 sentence worded or expressed so as to seek information or an answer. 2 a doubt or dispute about a matter (no question that he is dead). B raising of such doubt etc. 3 matter to be discussed or decided. 4 problem requiring a solution. -v. 1 ask questions of; interrogate; subject (a person) to examination. 2 throw doubt upon; raise objections to.  be just a question of time be certain to happen sooner or later. Be a question of be at issue, be a problem (it's a question of money). Call in (or into) question express doubts about.
Bat1  -n. 1 implement with a handle, used for hitting balls in games. 2 turn with this. 3 batsman. -v. (-tt-) 1 hit with or as with a bat. 2 take a turn at batting.  off one's own bat unprompted, unaided. [old english from french]
First name  n. Personal or christian name.
Minister without portfolio  n. Government minister not in charge of a specific department of state.
Disinfect  v. Cleanse of infection, esp. With disinfectant.  disinfection n.
Field events  n.pl. Athletic events other than races.
Leveler  n. (brit. Leveller) 1 person who advocates the abolition of social distinctions. 2 person or thing that levels.
Intelligible  adj. Able to be understood.  intelligibility n. Intelligibly adv.
Antrum  n. (pl. Antra) natural cavity in the body, esp. In a bone. [greek, = cave]
Chin  n. Front of the lower jaw.  keep one's chin up colloq. Remain cheerful. Take on the chin suffer a severe blow from; endure courageously. [old english]
Silkworm  n. Caterpillar that spins a cocoon of silk.
Spirogyra  n. Freshwater alga containing spiral bands of chlorophyll. [greek speira coil, guros round]
Glacial  adj. 1 of ice. 2 geol. Characterized or produced by ice. [latin glacies ice]
Purple passage  n. (also purple patch) ornate or elaborate literary passage.
Christian science  n. Christian sect believing in the power of healing by prayer alone.  christian scientist n.
Finding  n. (often in pl.) Conclusion reached by an inquiry etc.
Seals of office  n.pl. Seals held, esp. By the lord chancellor or a secretary of state.
Tam-tam  n. Large metal gong. [hindi]
Graeco-roman  adj. Of the greeks and romans.
Open-ended  adj. Having no predetermined limit.
Drey  n. Squirrel's nest. [origin unknown]
Sluice  -n. 1 (also sluice-gate, sluice-valve) sliding gate or other contrivance for regulating the volume or flow of water. 2 water so regulated. 3 (sluice-way) artificial water-channel, esp. For washing ore. 4 place for rinsing. 5 act of rinsing. -v. (-cing) 1 provide or wash with a sluice or sluices. 2 rinse, esp. With running water. 3 (foll. By out, away) wash out or away with a flow of water. 4 (of water) rush out (as if) from a sluice. [french escluse]
Blow-job  n. Coarse slang instance of fellatio or cunnilingus.
Cainozoic  var. Of *cenozoic.
Pas de deux  n. Dance for two. [french, = step for two]
Month of sundays  n. Colloq. Very long period.
Fatstock  n. Livestock fattened for slaughter.
Bottom  -n. 1 a lowest point or part. B base. C underneath part. D furthest or inmost part. 2 colloq. A buttocks. B seat of a chair etc. 3 a less honourable end of a table, class, etc. B person occupying this (he's bottom of the class). 4 ground below water. 5 basis or origin. 6 essential character. -adj. Lowest, last. -v. 1 put a bottom to (a chair etc.). 2 find the extent of. 3 touch the bottom or lowest point (of).  at bottom basically. Be at the bottom of have caused. Bottom out reach the lowest level. Get to the bottom of fully investigate and explain. [old english]
Man friday  n. Male helper or follower.
Bunker  n. 1 container for fuel. 2 reinforced underground shelter. 3 sandy hollow in a golf-course. [origin unknown]
Tartare  adj. (in phr. Sauce tartare) = *tartar sauce. [french]
Llama  n. S. American ruminant kept as a beast of burden and for its soft woolly fleece. [spanish from quechua]
Dander  n. Colloq. Temper, indignation.  get one's dander up become angry. [origin uncertain]
Culture  -n. 1 a intellectual and artistic achievement or expression (city lacking in culture). B refined appreciation of the arts etc. (person of culture). 2 customs, achievements, etc. Of a particular civilization or group (chinese culture). 3 improvement by mental or physical training. 4 cultivation of plants; rearing of bees etc. 5 quantity of micro-organisms and nutrient material supporting their growth. -v. (-ring) maintain (bacteria etc.) In suitable growth conditions. [latin: related to *cultivate] 
Sepulchral  adj. 1 of a tomb or interment. 2 funereal, gloomy. [latin: related to *sepulchre]
Inspect  v. 1 look closely at. 2 examine officially.  inspection n. [latin spicio spect- look]
Steel  -n. 1 strong malleable alloy of iron and carbon, used esp. For making tools, weapons, etc. 2 strength, firmness (nerves of steel). 3 steel rod for sharpening knives. -adj. Of or like steel. -v. (also refl.) Harden or make resolute. [old english]
Gravid  adj. Pregnant. [latin gravidus: related to *grave2]
Cambrian  -adj. 1 welsh. 2 geol. Of the first period in the palaeozoic era. -n. This period. [welsh: related to *cymric]
Horsehair  n. Hair from the mane or tail of a horse, used for padding etc.
Sprite  n. Elf, fairy. [sprit, contraction of *spirit]
Shebeen  n. Esp. Ir. Unlicensed drinking place. [irish]
